bubble,,bubble,bubble
limpkin,,bird,aquatic_bird
American_coot,,bird,aquatic_bird
bustard,,bird,aquatic_bird
ruddy_turnstone,,bird,aquatic_bird
red-backed_sandpiper,,bird,aquatic_bird
redshank,,bird,aquatic_bird
dowitcher,,bird,aquatic_bird
oystercatcher,,bird,aquatic_bird
European_gallinule,,bird,aquatic_bird
pelican,,bird,aquatic_bird
king_penguin,,bird,aquatic_bird
albatross,,bird,aquatic_bird
great_white_shark,,fish,elasmobranch
tiger_shark,,fish,elasmobranch
hammerhead,,fish,elasmobranch
electric_ray,,fish,elasmobranch
stingray,,fish,elasmobranch
barracouta,,fish,barracouta
coho,,fish,teleost_fish
tench,,fish,teleost_fish
goldfish,,fish,teleost_fish
eel,,fish,teleost_fish
rock_beauty,,fish,teleost_fish
anemone_fish,,fish,teleost_fish
lionfish,,fish,teleost_fish
puffer,,fish,teleost_fish
sturgeon,,fish,teleost_fish
gar,,fish,teleost_fish
loggerhead,,turtle,sea_turtle
leatherback_turtle,,turtle,sea_turtle
mud_turtle,,turtle,mud_turtle
terrapin,,turtle,terrapin
box_turtle,,turtle,box_turtle
banded_gecko,,diapsid,lizard
common_iguana,,diapsid,lizard
American_chameleon,,diapsid,lizard
whiptail,,diapsid,lizard
agama,,diapsid,lizard
frilled_lizard,,diapsid,lizard
alligator_lizard,,diapsid,lizard
Gila_monster,,diapsid,lizard
green_lizard,,diapsid,lizard
African_chameleon,,diapsid,lizard
Komodo_dragon,,diapsid,lizard
triceratops,,diapsid,ceratopsian
African_crocodile,,diapsid,crocodilian_reptile
American_alligator,,diapsid,crocodilian_reptile
thunder_snake,,diapsid,snake
ringneck_snake,,diapsid,snake
hognose_snake,,diapsid,snake
green_snake,,diapsid,snake
king_snake,,diapsid,snake
garter_snake,,diapsid,snake
water_snake,,diapsid,snake
vine_snake,,diapsid,snake
night_snake,,diapsid,snake
boa_constrictor,,diapsid,snake
rock_python,,diapsid,snake
Indian_cobra,,diapsid,snake
green_mamba,,diapsid,snake
sea_snake,,diapsid,snake
horned_viper,,diapsid,snake
diamondback,,diapsid,snake
sidewinder,,diapsid,snake
European_fire_salamander,,salamander,european_fire_salamander
common_newt,,salamander,newt
eft,,salamander,newt
spotted_salamander,,salamander,ambystomid
axolotl,,salamander,ambystomid
bullfrog,,frog,bullfrog
tree_frog,,frog,tree_frog
tailed_frog,,frog,tailed_frog
